GRAPH_ID,EDGE_ID,FROM_NODE_ID,TO_NODE_ID,FROM_NODE_INDEX,TO_NODE_INDEX,REACH_LENGTH_M
Q_611E0380,Q_611E0380_E0004,Q_611E0380_N0004,Q_611E0380_N0005,3,4,4117.366246
Q_611E0380,Q_611E0380_E0005,Q_611E0380_N0005,Q_611E0380_N0007,4,6,276.9462042
Q_611E0380,Q_611E0380_E0006,Q_611E0380_N0006,Q_611E0380_N0007,5,6,5552.42082
Q_611E0380,Q_611E0380_E0007,Q_611E0380_N0007,Q_611E0380_N0008,6,7,1470.002361
Q_611E0405,Q_611E0405_E0001,Q_611E0405_N0001,Q_611E0405_N0013,0,12,3244.234953
Q_611E0405,Q_611E0405_E0002,Q_611E0405_N0013,Q_611E0405_N0014,12,13,3748.856826
Q_611E0405,Q_611E0405_E0003,Q_611E0405_N0012,Q_611E0405_N0013,11,12,4451.478956
Q_611E0405,Q_611E0405_E0004,Q_611E0405_N0002,Q_611E0405_N0011,1,10,9074.504468
Q_611E0405,Q_611E0405_E0005,Q_611E0405_N0003,Q_611E0405_N0012,2,11,625.3342481
Q_611E0405,Q_611E0405_E0006,Q_611E0405_N0011,Q_611E0405_N0012,10,11,1843.486702
Q_611E0405,Q_611E0405_E0007,Q_611E0405_N0004,Q_611E0405_N0008,3,7,4933.548861
Q_611E0405,Q_611E0405_E0008,Q_611E0405_N0005,Q_611E0405_N0007,4,6,6236.690205
Q_611E0405,Q_611E0405_E0009,Q_611E0405_N0008,Q_611E0405_N0010,7,9,1132.730031
Q_611E0405,Q_611E0405_E0010,Q_611E0405_N0010,Q_611E0405_N0011,9,10,11271.84302
Q_611E0405,Q_611E0405_E0011,Q_611E0405_N0007,Q_611E0405_N0008,6,7,2059.03185
Q_611E0405,Q_611E0405_E0012,Q_611E0405_N0006,Q_611E0405_N0007,5,6,1308.902639
Q_611E0405,Q_611E0405_E0013,Q_611E0405_N0009,Q_611E0405_N0010,8,9,4184.231359
Q_611E1000,Q_611E1000_E0001,Q_611E1000_N0001,Q_611E1000_N0004,0,3,5136.79594
Q_611E1000,Q_611E1000_E0002,Q_611E1000_N0002,Q_611E1000_N0005,1,4,11289.28171
Q_611E1000,Q_611E1000_E0003,Q_611E1000_N0003,Q_611E1000_N0004,2,3,581.0687081
Q_611E1000,Q_611E1000_E0004,Q_611E1000_N0004,Q_611E1000_N0005,3,4,10931.7813
